id,title,content,promised_at,is_timed,due_at,tags,completed_at,notes
1,终结红尘故梦,5人本彻底回调，10人会有兼顾大家需求的解决方案,2025/8/7,是,2025/10/23,#玩法|#经济体系|#红尘故梦,,邓毅微博，https://weibo.com/7056235331/PELuwtJer
2,PC技能上无界,新赛季无界可以用PC技能和一键宏,2025/7/24,是,2025/10/23,#技改|#战斗|#无界,,邓毅微博，https://weibo.com/7056235331/PCAmPa1G1
3,商城打光,商城可以切万景阁的背景和光照,2025/7/17,否,,#商城|#外观优化|#新功能,,邓毅微博，https://weibo.com/7056235331/PBwcMmfoY
4,决定版,决定版秋季上线,2025/6/22,是,2025/11/7,#新功能,,咸鱼微博，https://weibo.com/2046281757/PxJdpvEDF
5,重制校服,重制版之前的部分经典老校服正在参考手绘版进行材质重制与还原。破军套及老五门入门装的优化效果将在年内完成更新，更新后的校服同步支持新布料。,2025/8/28,是,2025/12/31,#布料|#外观优化|#老门派补全|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Ydkhuaf
6,大橙武补全,明年4月补全新门派大橙武、老门牌橙武奇遇挂件,2025/8/28,是,2026/4/30,#老门派补全|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Ydkhuaf
7,小橙武补全,明年10月补全小橙武最终形态,2025/8/28,是,2026/10/31,#老门派补全|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Ydkhuaf
8,昼夜循环、实时天气,山海源流版本更新全场景昼夜循环和实时天气,2025/8/28,是,2025/10/23,#画质动作|#2025年828,,"官方微博：https://weibo.com/1761587065/Q1YCSgBxH
备注：此功能范围存疑，P4称这些功能是“新资料片即可在北疆大世界体验到的”，同时又称“昼夜循环2.0|全场景实时全局光照”"
9,打击感优化,根据敌人材质匹配受击音效，增加受击反馈，山海源流版本更新万花天策,2025/8/28,是,2025/10/23,#画质动作|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Yfa2kX9
10,动作流畅性,10月增加走跑跳骑马的动作帧数，减少生硬感,2025/8/28,是,2025/10/31,#画质动作|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Yfa2kX9
11,发饰隐藏、头饰叠加,山海源流版本更新：所有头发支持发饰隐藏，最多可同步叠加三种头饰,2025/8/28,是,2025/10/23,#商城|#外观优化|#新功能|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Yfa2kX9
12,发型染色,山海源流版本更新：所有头发支持黑白金红染色，原版依然存在,2025/8/28,是,2025/10/23,#商城|#外观优化|#新功能|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Yfa2kX9
13,剑网3前传,谢云流传预研项目的沉浸体验和正剧动画的剧本进入客户端作为剑网3前传，2026年揭幕,2025/8/28,是,2026/12/31,#剧情|#玩法|#新功能|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Y9vaH4m
14,body3.0,全体型都将有新的素体标准，可以自己设定角色肌肉线条,2025/8/28,否,,#外观优化|#新功能|#2025年828,,官方微博：https://weibo.com/1761587065/Q1Yfa2kX9
